#Function	Subsystem	Classification 1	Classification 2
Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	Transporters_In_Models	Experimental Subsystems	
Uptake hydrogenase large subunit (EC 1.12.99.6)	Transporters_In_Models	Experimental Subsystems	
Ni,Fe-hydrogenase I cytochrome b subunit	Transporters_In_Models	Experimental Subsystems	
Cytochrome c-type protein TorC	Transporters_In_Models	Experimental Subsystems	
Trimethylamine-N-oxide reductase (EC 1.6.6.9)	Transporters_In_Models	Experimental Subsystems	
FhuE receptor precursor	Transporters_In_Models	Experimental Subsystems	
ABC transporter, periplasmic spermidine putrescine-binding protein potD (TC_3.A.1.11.1)	Transporters_In_Models	Experimental Subsystems	
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	Transporters_In_Models	Experimental Subsystems	
Spermidine Putrescine ABC transporter permease component potB (TC_3.A.1.11.1)	Transporters_In_Models	Experimental Subsystems	
Spermidine Putrescine transport ATP-binding protein potA (TC_3.A.1.11.1)	Transporters_In_Models	Experimental Subsystems	
Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation	Transporters_In_Models	Experimental Subsystems	
Calcium/proton antiporter	Transporters_In_Models	Experimental Subsystems	
Nitrate/nitrite transporter	Transporters_In_Models	Experimental Subsystems	
Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	Transporters_In_Models	Experimental Subsystems	
Respiratory nitrate reductase beta chain (EC 1.7.99.4)	Transporters_In_Models	Experimental Subsystems	
Respiratory nitrate reductase delta chain (EC 1.7.99.4)	Transporters_In_Models	Experimental Subsystems	
Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	Transporters_In_Models	Experimental Subsystems	
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	Transporters_In_Models	Experimental Subsystems	
Putative potassium channel protein	Transporters_In_Models	Experimental Subsystems	
Peptide transport system ATP-binding protein sapD (TC 3.A.1.5.5)	Transporters_In_Models	Experimental Subsystems	
Putrescine importer	Transporters_In_Models	Experimental Subsystems	
Outer membrane protein G precursor	Transporters_In_Models	Experimental Subsystems	
Outer membrane protein N precursor	Transporters_In_Models	Experimental Subsystems	
Formate dehydrogenase N beta subunit (EC 1.2.1.2)	Transporters_In_Models	Experimental Subsystems	
Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	Transporters_In_Models	Experimental Subsystems	
Dipeptide transport ATP-binding protein dppF (TC 3.A.1.5.2)	Transporters_In_Models	Experimental Subsystems	
puatative hemin transporter subunit	Transporters_In_Models	Experimental Subsystems	
Dipeptide transport system permease protein dppC (TC 3.A.1.5.2)	Transporters_In_Models	Experimental Subsystems	
Putative hemine transporter ATP-binding subunit	Transporters_In_Models	Experimental Subsystems	
Dipeptide transport system permease protein dppB (TC 3.A.1.5.2)	Transporters_In_Models	Experimental Subsystems	
putative hemin permease	Transporters_In_Models	Experimental Subsystems	
Probable sugar efflux transporter	Transporters_In_Models	Experimental Subsystems	
Probable amino acid metabolite efflux pump	Transporters_In_Models	Experimental Subsystems	
Voltage-gated ClC-type chloride channel clcB	Transporters_In_Models	Experimental Subsystems	
NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	Transporters_In_Models	Experimental Subsystems	
NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	Transporters_In_Models	Experimental Subsystems	
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Transporters_In_Models	Experimental Subsystems	
PTS system, mannose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, mannose-specific IID component	Transporters_In_Models	Experimental Subsystems	
Zinc ABC transporter, periplasmic-binding protein ZnuA	Transporters_In_Models	Experimental Subsystems	
Zinc ABC transporter, ATP-binding protein ZnuC	Transporters_In_Models	Experimental Subsystems	
Zinc ABC transporter, inner membrane permease protein ZnuB	Transporters_In_Models	Experimental Subsystems	
L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	Transporters_In_Models	Experimental Subsystems	
L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	Transporters_In_Models	Experimental Subsystems	
Tyrosine-specific transport protein	Transporters_In_Models	Experimental Subsystems	
PTS system, galactitol-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, galactitol-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, galactitol-specific IIA component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Putative transport system permease protein	Transporters_In_Models	Experimental Subsystems	
Hypothetical ABC transporter ATP-binding protein yehX	Transporters_In_Models	Experimental Subsystems	
Galactose/methyl galactoside ABC transport system, permease protein MglC (TC 3.A.1.2.3)	Transporters_In_Models	Experimental Subsystems	
Galactose/methyl galactoside ABC transport system, ATP-binding protein MglA (EC 3.6.3.17)	Transporters_In_Models	Experimental Subsystems	
Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)	Transporters_In_Models	Experimental Subsystems	
Colicin I receptor precursor	Transporters_In_Models	Experimental Subsystems	
PTS system, fructose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, fructose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Fructose-specific phosphocarrier protein HPr	Transporters_In_Models	Experimental Subsystems	
PTS system, fructose-specific IIA component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Sugar efflux transporter B	Transporters_In_Models	Experimental Subsystems	
Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	Transporters_In_Models	Experimental Subsystems	
ABC transporter involved in cytochrome c biogenesis, CcmB subunit	Transporters_In_Models	Experimental Subsystems	
ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	Transporters_In_Models	Experimental Subsystems	
Cytochrome c-type protein NapC	Transporters_In_Models	Experimental Subsystems	
Nitrate reductase cytochrome c550-type subunit	Transporters_In_Models	Experimental Subsystems	
Polyferredoxin NapH (periplasmic nitrate reductase)	Transporters_In_Models	Experimental Subsystems	
Ferredoxin-type protein NapG (periplasmic nitrate reductase)	Transporters_In_Models	Experimental Subsystems	
Periplasmic nitrate reductase precursor (EC 1.7.99.4)	Transporters_In_Models	Experimental Subsystems	
Outer membrane protein C precursor	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	Transporters_In_Models	Experimental Subsystems	
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	Transporters_In_Models	Experimental Subsystems	
Nucleoside permease nupC	Transporters_In_Models	Experimental Subsystems	
Phosphocarrier protein of PTS system	Transporters_In_Models	Experimental Subsystems	
Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	Transporters_In_Models	Experimental Subsystems	
PTS system, glucose-specific IIA component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
L-proline Glycine Betaine ABC transport ATP-binding protein proV (TC 3.A.1.12.1)	Transporters_In_Models	Experimental Subsystems	
PTS system, glucitol/sorbitol-specific IIC component	Transporters_In_Models	Experimental Subsystems	
PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, glucitol/sorbitol-specific IIA component	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase subunit 7	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase complex 3 iron-sulfur protein; Formate hydrogenlyase subunit 6; Ni,Fe-hydrogenase III medium subunit	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase subunit 6	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase subunit 5	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase subunit 4	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase subunit 3	Transporters_In_Models	Experimental Subsystems	
Formate hydrogenlyase subunit 2	Transporters_In_Models	Experimental Subsystems	
D-glucarate permease	Transporters_In_Models	Experimental Subsystems	
Serine transporter	Transporters_In_Models	Experimental Subsystems	
Thiol:disulfide interchange protein DsbC	Transporters_In_Models	Experimental Subsystems	
Nucleoside permease nupG	Transporters_In_Models	Experimental Subsystems	
Glycolate permease	Transporters_In_Models	Experimental Subsystems	
Low-affinity inorganic phosphate transporter	Transporters_In_Models	Experimental Subsystems	
Biopolymer transport protein ExbD/TolR	Transporters_In_Models	Experimental Subsystems	
MotA/TolQ/ExbB proton channel family protein	Transporters_In_Models	Experimental Subsystems	
Zinc transporter zupT	Transporters_In_Models	Experimental Subsystems	
Hexuronate transporter	Transporters_In_Models	Experimental Subsystems	
L-threonine transporter, anaerobically inducible	Transporters_In_Models	Experimental Subsystems	
D-galactarate permease	Transporters_In_Models	Experimental Subsystems	
Tryptophan-specific transport protein	Transporters_In_Models	Experimental Subsystems	
RND efflux system, inner membrane transporter CmeB	Transporters_In_Models	Experimental Subsystems	
Trk system potassium uptake protein trkA	Transporters_In_Models	Experimental Subsystems	
Glutathione-regulated potassium-efflux system protein kefB	Transporters_In_Models	Experimental Subsystems	
Nitrite transporter NirC	Transporters_In_Models	Experimental Subsystems	
High-affinity gluconate transporter GntT	Transporters_In_Models	Experimental Subsystems	
SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	Transporters_In_Models	Experimental Subsystems	
SN-glycerol-3-phosphate transport system permease protein UgpE (TC 3.A.1.1.3)	Transporters_In_Models	Experimental Subsystems	
SN-glycerol-3-phosphate transport system permease protein UgpA (TC 3.A.1.1.3)	Transporters_In_Models	Experimental Subsystems	
Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)	Transporters_In_Models	Experimental Subsystems	
Branched-chain amino acid transport ATP-binding protein livF (TC 3.A.1.4.1)	Transporters_In_Models	Experimental Subsystems	
Branched-chain amino acid transport ATP-binding protein livG (TC 3.A.1.4.1)	Transporters_In_Models	Experimental Subsystems	
Branched-chain amino acid transport system permease protein livM (TC 3.A.1.4.1)	Transporters_In_Models	Experimental Subsystems	
High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	Transporters_In_Models	Experimental Subsystems	
High-affinity leucine-specific transport system, periplasmic binding protein livK (TC 3.A.1.4.1)	Transporters_In_Models	Experimental Subsystems	
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	Transporters_In_Models	Experimental Subsystems	
Nickel transport system permease protein nikB (TC 3.A.1.5.3)	Transporters_In_Models	Experimental Subsystems	
Nickel transport system permease protein nikC (TC 3.A.1.5.3)	Transporters_In_Models	Experimental Subsystems	
Nickel transport ATP-binding protein nikD (TC 3.A.1.5.3)	Transporters_In_Models	Experimental Subsystems	
Nickel transport ATP-binding protein nikE (TC 3.A.1.5.3)	Transporters_In_Models	Experimental Subsystems	
Dipeptide transport ATP-binding protein dppD (TC 3.A.1.5.2)	Transporters_In_Models	Experimental Subsystems	
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	Transporters_In_Models	Experimental Subsystems	
Xylose ABC transporter, periplasmic xylose-binding protein XylF	Transporters_In_Models	Experimental Subsystems	
D-xylose transport ATP-binding protein XylG	Transporters_In_Models	Experimental Subsystems	
Xylose ABC transporter, permease protein XylH	Transporters_In_Models	Experimental Subsystems	
TRAP-type C4-dicarboxylate transport system, small permease component	Transporters_In_Models	Experimental Subsystems	
TRAP-type C4-dicarboxylate transport system, large permease component	Transporters_In_Models	Experimental Subsystems	
TRAP-type C4-dicarboxylate transport system, periplasmic component	Transporters_In_Models	Experimental Subsystems	
PTS system, mannitol-specific IIA component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
L-lactate permease	Transporters_In_Models	Experimental Subsystems	
Low affinity tryptophan permease	Transporters_In_Models	Experimental Subsystems	
Phosphate transport ATP-binding protein pstB (TC 3.A.1.7.1)	Transporters_In_Models	Experimental Subsystems	
Phosphate transport system permease protein pstA (TC 3.A.1.7.1)	Transporters_In_Models	Experimental Subsystems	
Phosphate transport system permease protein pstC (TC 3.A.1.7.1)	Transporters_In_Models	Experimental Subsystems	
Phosphate ABC transporter, periplasmic phosphate-binding protein pstS (TC 3.A.1.7.1)	Transporters_In_Models	Experimental Subsystems	
ATP synthase epsilon chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase beta chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase gamma chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase alpha chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase delta chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase B chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase C chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase A chain (EC 3.6.3.14)	Transporters_In_Models	Experimental Subsystems	
ATP synthase protein I	Transporters_In_Models	Experimental Subsystems	
Kup system potassium uptake protein	Transporters_In_Models	Experimental Subsystems	
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	Transporters_In_Models	Experimental Subsystems	
Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	Transporters_In_Models	Experimental Subsystems	
Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	Transporters_In_Models	Experimental Subsystems	
Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	Transporters_In_Models	Experimental Subsystems	
Threonine efflux protein	Transporters_In_Models	Experimental Subsystems	
Periplasmic thiol:disulfide interchange protein DsbA	Transporters_In_Models	Experimental Subsystems	
Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	Transporters_In_Models	Experimental Subsystems	
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	Transporters_In_Models	Experimental Subsystems	
2-keto-3-deoxygluconate permease (KDG permease)	Transporters_In_Models	Experimental Subsystems	
Cobalt-zinc-cadmium resistance protein	Transporters_In_Models	Experimental Subsystems	
Glycerol uptake facilitator protein	Transporters_In_Models	Experimental Subsystems	
Outer membrane vitamin B12 receptor BtuB	Transporters_In_Models	Experimental Subsystems	
Maltose/maltodextrin ABC transporter, permease protein MalG	Transporters_In_Models	Experimental Subsystems	
Maltose/maltodextrin ABC transporter, permease protein MalF	Transporters_In_Models	Experimental Subsystems	
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	Transporters_In_Models	Experimental Subsystems	
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	Transporters_In_Models	Experimental Subsystems	
Cytochrome c552 precursor (EC 1.7.2.2)	Transporters_In_Models	Experimental Subsystems	
Cytochrome c-type protein nrfB precursor	Transporters_In_Models	Experimental Subsystems	
NrfC protein	Transporters_In_Models	Experimental Subsystems	
NrfD protein	Transporters_In_Models	Experimental Subsystems	
C4-dicarboxylate transporter DcuB	Transporters_In_Models	Experimental Subsystems	
Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	Transporters_In_Models	Experimental Subsystems	
Ascorbate-specific PTS system, EIIC component	Transporters_In_Models	Experimental Subsystems	
Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	Transporters_In_Models	Experimental Subsystems	
D-serine/D-alanine/glycine transporter	Transporters_In_Models	Experimental Subsystems	
Magnesium transporting ATPase, P-type 1 (EC 3.6.3.2)	Transporters_In_Models	Experimental Subsystems	
Iron(III) dicitrate transport system permease protein fecD (TC 3.A.1.14.1)	Transporters_In_Models	Experimental Subsystems	
Iron(III) dicitrate transport system permease protein fecC (TC 3.A.1.14.1)	Transporters_In_Models	Experimental Subsystems	
Iron(III) dicitrate transport system, periplasmic iron-binding protein fecB (TC 3.A.1.14.1)	Transporters_In_Models	Experimental Subsystems	
Iron(III) dicitrate transport protein fecA precursor	Transporters_In_Models	Experimental Subsystems	
N-acetylneuraminic acid outer membrane channel protein NanC	Transporters_In_Models	Experimental Subsystems	
Fructuronate transporter GntP	Transporters_In_Models	Experimental Subsystems	
L-arabinose transport system permease protein (TC 3.A.1.2.2)	Transporters_In_Models	Experimental Subsystems	
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	Transporters_In_Models	Experimental Subsystems	
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	Transporters_In_Models	Experimental Subsystems	
PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Ferrous iron transport peroxidase EfeB	Transporters_In_Models	Experimental Subsystems	
Glycerol-3-phosphate transporter	Transporters_In_Models	Experimental Subsystems	
PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, beta-glucoside-specific IIC component	Transporters_In_Models	Experimental Subsystems	
PTS system, beta-glucoside-specific IIA component	Transporters_In_Models	Experimental Subsystems	
Uracil permease	Transporters_In_Models	Experimental Subsystems	
PTS system, trehalose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, trehalose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Magnesium and cobalt transport protein corA	Transporters_In_Models	Experimental Subsystems	
PTS system, mannitol-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Ethanolamine permease	Transporters_In_Models	Experimental Subsystems	
Arabinose-proton symporter	Transporters_In_Models	Experimental Subsystems	
PTS system, fructose-specific IIA component	Transporters_In_Models	Experimental Subsystems	
PTS system, fructose-specific IIC component	Transporters_In_Models	Experimental Subsystems	
Proline/sodium symporter PutP (TC 2.A.21.2.1)	Transporters_In_Models	Experimental Subsystems	
Propionate/sodium symporter	Transporters_In_Models	Experimental Subsystems	
Manganese transport protein MntH	Transporters_In_Models	Experimental Subsystems	
Arsenic efflux pump protein	Transporters_In_Models	Experimental Subsystems	
PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Cytosine/purine/uracil/thiamine/allantoin permease family protein	Transporters_In_Models	Experimental Subsystems	
PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, N-acetylglucosamine-specific IIC component	Transporters_In_Models	Experimental Subsystems	
Transporter, LysE family	Transporters_In_Models	Experimental Subsystems	
Na+/H+ antiporter	Transporters_In_Models	Experimental Subsystems	
Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)	Transporters_In_Models	Experimental Subsystems	
Copper-translocating P-type ATPase (EC 3.6.3.4)	Transporters_In_Models	Experimental Subsystems	
Vitamin B12 ABC transporter, ATPase component BtuD	Transporters_In_Models	Experimental Subsystems	
Vitamin B12 ABC transporter, permease component BtuC	Transporters_In_Models	Experimental Subsystems	
Hydrogenase maturation protease (EC 3.4.24.-)	Transporters_In_Models	Experimental Subsystems	
Ferrous iron transport protein B	Transporters_In_Models	Experimental Subsystems	
Na+/H+ antiporter NhaA type	Transporters_In_Models	Experimental Subsystems	
PTS system, glucose-specific IIC component	Transporters_In_Models	Experimental Subsystems	
PTS system, glucose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, glucose-specific IIA component	Transporters_In_Models	Experimental Subsystems	
Multiple sugar ABC transporter, ATP-binding protein	Transporters_In_Models	Experimental Subsystems	
Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	Transporters_In_Models	Experimental Subsystems	
PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Probable pyrimidine nucleoside transport protein	Transporters_In_Models	Experimental Subsystems	
PTS system, trehalose-specific IIB component (EC 2.7.1.69) / PTS system, trehalose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
L-Proline/Glycine betaine transporter ProP	Transporters_In_Models	Experimental Subsystems	
Lysine-specific permease	Transporters_In_Models	Experimental Subsystems	
ATP synthase F0 sector subunit b	Transporters_In_Models	Experimental Subsystems	
ATP synthase F0 sector subunit c	Transporters_In_Models	Experimental Subsystems	
ATP synthase F0 sector subunit a	Transporters_In_Models	Experimental Subsystems	
PTS system, mannitol-specific IIA component	Transporters_In_Models	Experimental Subsystems	
Proton/sodium-glutamate symport protein	Transporters_In_Models	Experimental Subsystems	
Candidate zinc-binding lipoprotein ZinT	Transporters_In_Models	Experimental Subsystems	
Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	Transporters_In_Models	Experimental Subsystems	
PTS system, mannose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, mannose-specific IIC component	Transporters_In_Models	Experimental Subsystems	
PTS system, mannose-specific IIA component	Transporters_In_Models	Experimental Subsystems	
Iron(III)-binding periplasmic protein sfuA	Transporters_In_Models	Experimental Subsystems	
PTS system hrsA EIIA component	Transporters_In_Models	Experimental Subsystems	
PTS system hrsA EIIB component	Transporters_In_Models	Experimental Subsystems	
PTS system hrsA permease IIC component	Transporters_In_Models	Experimental Subsystems	
Glutamine ABC transporter, periplasmic glutamine-binding protein (TC 3.A.1.3.2)	Transporters_In_Models	Experimental Subsystems	
Oligopeptide transport system permease protein oppC (TC 3.A.1.5.1)	Transporters_In_Models	Experimental Subsystems	
Oligopeptide transport ATP-binding protein oppD (TC 3.A.1.5.1)	Transporters_In_Models	Experimental Subsystems	
Oligopeptide transport ATP-binding protein oppF (TC 3.A.1.5.1)	Transporters_In_Models	Experimental Subsystems	
Ferric siderophore transport system, periplasmic binding protein TonB	Transporters_In_Models	Experimental Subsystems	
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2); Putative hemin-binding lipoprotein	Transporters_In_Models	Experimental Subsystems	
PTS system, sucrose-specific IIB component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
PTS system, sucrose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
homoserine/homoserine lactone efflux protein [KO:K05834]	Transporters_In_Models	Experimental Subsystems	
Potassium uptake protein TrkH	Transporters_In_Models	Experimental Subsystems	
D-allose ABC transporter, permease component	Transporters_In_Models	Experimental Subsystems	
D-allose ABC transporter, ATPase component	Transporters_In_Models	Experimental Subsystems	
D-allose ABC transporter, substrate-binding component	Transporters_In_Models	Experimental Subsystems	
C4-dicarboxylate transporter DcuA	Transporters_In_Models	Experimental Subsystems	
L-idonate, D-gluconate, 5-keto-D-gluconate transporter	Transporters_In_Models	Experimental Subsystems	
Ferrichrome transport ATP-binding protein fhuC (TC 3.A.1.14.3)	Transporters_In_Models	Experimental Subsystems	
Branched-chain amino acid transport system carrier protein	Transporters_In_Models	Experimental Subsystems	
Arsenical pump membrane protein	Transporters_In_Models	Experimental Subsystems	
Xanthine/uracil/thiamine/ascorbate permease family protein	Transporters_In_Models	Experimental Subsystems	
Arginine/ornithine antiporter ArcD	Transporters_In_Models	Experimental Subsystems	
PTS system, sucrose-specific IIB component (EC 2.7.1.69) / PTS system, sucrose-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Outer membrane receptor for ferrienterochelin and colicins	Transporters_In_Models	Experimental Subsystems	
Na+/H+ antiporter NhaC	Transporters_In_Models	Experimental Subsystems	
Manganese ABC transporter, periplasmic-binding protein SitA	Transporters_In_Models	Experimental Subsystems	
Manganese ABC transporter, ATP-binding protein SitB	Transporters_In_Models	Experimental Subsystems	
Manganese ABC transporter, inner membrane permease protein SitC	Transporters_In_Models	Experimental Subsystems	
Manganese ABC transporter, inner membrane permease protein SitD	Transporters_In_Models	Experimental Subsystems	
Xanthine permease	Transporters_In_Models	Experimental Subsystems	
Amino acid permease	Transporters_In_Models	Experimental Subsystems	
Amino acid ABC transporter, periplasmic amino acid-binding protein	Transporters_In_Models	Experimental Subsystems	
Iron(III) dicitrate transport protein fecA	Transporters_In_Models	Experimental Subsystems	
RND efflux system, membrane fusion protein CmeA	Transporters_In_Models	Experimental Subsystems	
putative periplasmic binding transport protein	Transporters_In_Models	Experimental Subsystems	
ATPase component of general energizing module of ECF transporters	Transporters_In_Models	Experimental Subsystems	
Homolog of fucose/glucose/galactose permeases	Transporters_In_Models	Experimental Subsystems	
PTS system, mannitol-specific IIB component (EC 2.7.1.69) / PTS system, mannitol-specific IIC component (EC 2.7.1.69)	Transporters_In_Models	Experimental Subsystems	
Probable Co/Zn/Cd efflux system membrane fusion protein	Transporters_In_Models	Experimental Subsystems	
multidrug-efflux transporter	Transporters_In_Models	Experimental Subsystems	
Nucleoside permease NupC	Transporters_In_Models	Experimental Subsystems	
Sulfate permease	Transporters_In_Models	Experimental Subsystems	
branched-chain amino acid transport	Transporters_In_Models	Experimental Subsystems	
Probable low-affinity inorganic phosphate transporter	Transporters_In_Models	Experimental Subsystems	
ABC transporter, ATP-binding protein	Transporters_In_Models	Experimental Subsystems	
Urea channel UreI	Transporters_In_Models	Experimental Subsystems	
Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	Transporters_In_Models	Experimental Subsystems	
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	Transporters_In_Models	Experimental Subsystems	
Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1)	Transporters_In_Models	Experimental Subsystems	
Cytochrome c oxidase subunit CcoP (EC 1.9.3.1)	Transporters_In_Models	Experimental Subsystems	
nitrite extrusion protein (narK)	Transporters_In_Models	Experimental Subsystems	
